,Event,LN status,n,Model,Mean_C-Index,C-Index_Std,p-value,HR,CI-low,CI-high
0,DMFS,LN-,499,Grade,0.68,0.06,0.0017,1.83,1.21,2.76
1,DMFS,LN-,499,NPI,0.7,0.06,0.0091,2.0,1.28,3.13
2,DMFS,LN-,499,BRACE,0.73,0.06,0.001,1.46,1.22,1.74
3,DMFS,LN+,626,Grade,0.68,0.04,0.0,1.97,1.41,2.76
4,DMFS,LN+,626,NPI,0.72,0.05,0.0004,1.45,1.25,1.68
5,DMFS,LN+,626,BRACE,0.72,0.05,0.0,1.49,1.29,1.72
6,BCSS,LN-,499,Grade,0.74,0.07,0.0,2.92,1.72,4.96
7,BCSS,LN-,499,NPI,0.82,0.05,0.0001,3.06,1.98,4.75
8,BCSS,LN-,499,BRACE,0.84,0.04,0.0,1.58,1.34,1.86
9,BCSS,LN+,626,Grade,0.72,0.05,0.0,2.61,1.75,3.9
10,BCSS,LN+,626,NPI,0.8,0.04,0.0,1.54,1.32,1.8
11,BCSS,LN+,626,BRACE,0.79,0.04,0.0,1.57,1.37,1.81
